Date,Open,High,Low,Close,Volume,Code,Name,Market,Volume_Ratio,Z_Score,Return_1D,Return_3D,Return_5D,Return_10D
2024-10-25,39550,44400,38900,40700,5439528,008930,한미사이언스,KOSPI,7.662516316835636,5.863645850467005,-6.2653562653562656,28.00982800982801,-10.933660933660933,-8.845208845208845
2024-10-30,43300,52500,42600,52100,11534711,008930,한미사이언스,KOSPI,7.670795777385469,6.284832363876132,-8.349328214971209,-25.719769673704413,-24.088291746641076,-34.93282149712092
2022-10-26,54300,54500,53700,53700,22133,001720,신영증권,KOSPI,5.112019586104951,5.78123675278335,0.5586592178770949,2.97951582867784,2.60707635009311,2.97951582867784
2023-05-31,55800,55800,53500,53500,14069,001720,신영증권,KOSPI,10.224563953488373,4.9912348250224055,3.364485981308411,3.925233644859813,3.177570093457944,3.364485981308411
2024-01-30,60700,62900,60600,62500,18878,001720,신영증권,KOSPI,7.155636418770374,6.369482009443548,-0.96,0.96,4.8,7.68
2024-12-12,77400,77400,74300,75700,16381,001720,신영증권,KOSPI,5.217377456444884,2.5021311577461756,-2.3778071334214,0.0,-0.9247027741083224,0.7926023778071334
2023-03-06,16150,19580,15950,17710,3117775,009420,한올바이오파마,KOSPI,10.610209337045472,7.43210232609591,8.639186900056465,3.613777526821005,-8.074534161490684,-3.1055900621118013
2023-03-07,17500,20300,17410,19240,3894836,009420,한올바이오파마,KOSPI,8.068753229838325,5.885841062452028,-3.3264033264033266,-14.5010395010395,-16.839916839916842,-10.187110187110187
2023-05-19,22200,23200,18400,21850,3797773,009420,한올바이오파마,KOSPI,7.130587486253836,4.3573905088925775,-0.9153318077803204,0.4576659038901602,-0.9153318077803204,4.118993135011442
2023-10-04,33800,35300,30450,34400,8453644,009420,한올바이오파마,KOSPI,8.20286916503424,7.189542091265501,0.29069767441860467,7.703488372093023,10.755813953488373,-3.488372093023256
